Ley Presupuesto,,,Denominación,Línea de Servicio o Programa,Enlace a nómima de beneficiarios,Antecedentes Persona o entidad ejecutora,,,,,,,,,,,,,,,,,,
Sub Título,Ítem,Asig,,,,Nro. Adquisición,Nombre  Adquisición,Nombre persona o entidad ejecutora,Monto adjudicado,Región,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,1600000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulación,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,248000,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,CHILECONSULTOR EIRL,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,5250000,Atacama,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,2800000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,200000,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,369821,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,GEDES,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,9000000,Coquimbo,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,4800000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,744000,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec, DONOSO Y BOUILLET CONSULTORES LIMITADA (TERRITORIA),FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,8250000,Valparaiso,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,4400000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,682000,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,Corporación Santiago Innova,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,8250000,RM,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,4350000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,682000,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,FyJ consultores SPA,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,11250000,O´Higgins,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,4800000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantías,793560,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,GESTAIDEA,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,8250000,Maule,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,4400000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,700000,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,1278750,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,Sociedad Comercial Y De Servicios Valdivia La Ltda,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,4500000,Ñuble,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,2656000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantías,313267,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,Asexma Biobío,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,3750000,Biobío,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,2000000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,310000,,,,,,,,,,,,,,,
,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,SOFO,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,9000000,La Araucanía,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,4800000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,558090,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,Proyectaustral,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,3000000,Los Rios,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,1600000,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,249737,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,Codesser,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,6000000,Los Lagos,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,3200000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,289858,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,Consultores de la Patagonia SpA,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,2250000,Aysén,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,1200000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,198000,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,MAGALLANIA CAPACITACIÓN LIMITADA,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,4500000,Magallanes,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,2400000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulacion,500000,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,581250,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,CONFEDERACIONES Y FEDERACIONES  NACIONALES,Benef _GN'!A1,Agente operador Sercotec,Santiago innova,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,10400000,Nivel central,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,13800000,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,1812000,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,Beneficiarios/as Ferias Libre,Agente Operador Sercotec,Codesser,Asistencia Técnica a Implementación del Proyecto,1762329,Arica y Parinacota,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,0,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,2964825,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,322469,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,Chile Consultor,Asistencia Técnica a Implementación del Proyecto,3839579,Tarapacá,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,6400000,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,6773052,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,3455638,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,EXPRO LTDA.,Asistencia Técnica a Implementación del Proyecto,908262,Antofagasta,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,2400000,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,1645600,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,839592,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,Chile Consultor,Asistencia Técnica a Implementación del Proyecto,1022444,Atacama,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,0,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,1720092,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,419159,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,SENDA,Asistencia Técnica a Implementación del Proyecto,1251191,Coquimbo,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,3500000,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,2959898,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,464576,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,CICAL,Asistencia Técnica a Implementación del Proyecto,5102807,Valparaíso,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,0,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,8584622,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,4379909,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,CORPORACION SANTIAGO INNOVA,Asistencia Técnica a Implementación del Proyecto,11678520,Metropolitana,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,0,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,19119238,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,9732099,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,FyJ consultores SPA,Asistencia Técnica a Implementación del Proyecto,6688317,O'Higgins,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,0,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,11251979,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,5719014,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,ALTA GESTION EIRL,Asistencia Técnica a Implementación del Proyecto,5308694,Maule,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,8000000,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,11225645,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,1662592,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,SERVICIOS PROFESIONALES SPA,Asistencia Técnica a Implementación del Proyecto,30032210,Ñuble,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,900966,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,1515726,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,773329,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,SERVICIOS PROFESIONALES SPA,Asistencia Técnica a Implementación del Proyecto,4271390,Biobío,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,7200000,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,0,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,0,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,FUDEA UFRO,Asistencia Técnica a Implementación del Proyecto,6971523,La Araucanía,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,0,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,13604054,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,2403115,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,Asesorías Ferrada. González y Ramírez Limitada.,Asistencia Técnica a Implementación del Proyecto,2618834,Los Ríos,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,8800000,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,4836951,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,2467832,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,Codesser,Asistencia Técnica a Implementación del Proyecto,4052183,Los Lagos,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,7200000,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,7169922,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,3658123,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,CONSULTORES DE LA PATAGONIA ASOCIADOS LIMITADA,Asistencia Técnica a Implementación del Proyecto,720000,Aysén,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,1600000,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,1289680,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,571898,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Programa de Desarrollo de Ferías Libres,,Agente Operador Sercotec,Codesser,Asistencia Técnica a Implementación del Proyecto,847236,Magallanes,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Asesoría Especializada,727.21,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Evaluación. Supervisión y Seguimiento de la Ejecución,1425332,,Sin observaciones,,,,,,,,,,,,,
,,,,,,,,Garantías,0,,Sin observaciones,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,Beneficiarios/as Barrios Comerciales,AOS,Barrio Comercial Bolognesi - Operación y Funcionamiento,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),7020528,Región de Arica y Parinacota,Barrio Bolognesi,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Barrio Huasco Bajo - Operación y funcionamiento 2022,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),14022000,Región de Atacama,Barrio Huasco bajo,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento BBCC Baquedano de Coquimbo 2022,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),1564645,Región de Coquimbo,Barrio Baquedano,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento BBCC Elquino de Paihuano 2022,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),2482355,Región de Coquimbo,Barrio Elquino de Paihuano,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento Barrio Comercial Poniente de Viña del Mar,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),4783820,Región de Valparaíso,Barrio Poniente ,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento Barrio Comercial Llolleo de San Antonio,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),5626969,Región de Valparaíso,Barrio Llolleo,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,BC FRANKLIN - Operación y Funcionamiento,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3149250,Región Metropolitana,Barrio Franklin,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,BC MAIPU - Operación y Funcionamiento ,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3149250,Región Metropolitana,Barrio El Olimpo de Maipú,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,BC NEPTUNO - Operación y Funcionamiento,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3149250,Región Metropolitana,Barrio Neptuno,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,BC CARRASCAL - Operación y Funcionamiento,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3149250,Región Metropolitana,Barrio Carrascal,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,BC PARQUE LOS REYES - Operación y Funcionamiento,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3149250,Región Metropolitana,Barrio Parque Los Reyes,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,BC LASTARRIA - Operación y Funcionamiento,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3149250,Región Metropolitana,Barrio Lastarria,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,BC BELLAVISTA - Operación y Funcionamiento,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3149250,Región Metropolitana,Barrio Bellavista,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,BC LOS DOMINICOS - Operación y Funcionamiento,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3149250,Región Metropolitana,Barrio Pueblito Los Dominicos,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento BBCC Colchagua Santa Cruz ,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3160340,Región de O'Higgins,Barrio Santa Cruz,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento BBCC Estación San Vicente,-  CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3565660,Región de O'Higgins,Barrio Estacion San Vicente,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Barrio Perla del Maule - Operación,"- SOCIEDAD DE INGENIERIA, ESTUDIO, DESARROLLO Y ASESORÍAS EMPRESARIALES, CONSULTORES DE CONSTITUCION -IDACC",6957995,Region de Maule,Barrio Perla del Maule,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Barrio Condorito - Operación ,"- SOCIEDAD DE INGENIERIA, ESTUDIO, DESARROLLO Y ASESORÍAS EMPRESARIALES, CONSULTORES DE CONSTITUCION -IDACC",3015721,Region de Maule,Barrio Condorito,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,OPERACION BBCC LEBU,- SERVICIOS PROFESIONALES  SPA (AVANZAR CONSULTORES).,1172263,Region del Bio Bio,Barrio Lebu,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,OPERACION  BBCC LAJA,- SERVICIOS PROFESIONALES  SPA (AVANZAR CONSULTORES).,3454959,Region del Bio Bio,Barrio Laja,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,OPERACION  BBCC CORONEL,- SERVICIOS PROFESIONALES  SPA (AVANZAR CONSULTORES).,1805808,Region del Bio Bio,Barrio Coronel,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,OPERACIÓN  BBCC CURANILAHUE,- SERVICIOS PROFESIONALES  SPA (AVANZAR CONSULTORES).,1977823,Region del Bio Bio,Barrio Curanilahue,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,OPERACION  BBCC BILBAO,- SERVICIOS PROFESIONALES  SPA (AVANZAR CONSULTORES).,1028371,Region del Bio Bio,Barrio Bilbao,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,OPERACION  BBCC LENGA,- SERVICIOS PROFESIONALES  SPA (AVANZAR CONSULTORES).,433281,Region del Bio Bio,Barrio Caleta Lenga,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento Barrio Centro Carahue,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),1769110,Region de  La Araucania,Barrio Centor Carahue,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento Barrio Patrimonial Traiguen,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),1278586,Region de  La Araucania,Barrio Patrimonial Traiguen,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento Barrio Calle Blanco,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3387516,Region de  La Araucania,Barrio Calle Blanco,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento - Barrio Cochrane,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),3981166,Region de Los Rios,Barrio Cochrane,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento - Barrio Plaza Libertad Lanco,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),4435438,Region de Los Rios,Barrio Plaza Libertad Lanco,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento - Barrio Esmeralda Río Bueno,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),4429787,Region de Los Rios,Barrio Esmeralda Río Bueno,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento - Barrio Centro Futrono,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),5023564,Region de Los Rios,Barrio Centro Futrono,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,Operación y funcionamiento - Barrio Isla Teja,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),4588045,Region de Los Rios, Barrio Isla Teja,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,"Barrio Manoly de Angelmó, Operación y funcionamiento ",- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),5972460,Region de Los Lagos,Barrio Manoly de Angelmó,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS,"Barrio Patrimonial de Castro, Operación y funcionamiento ",- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),8847540,Region de Los Lagos,Barrio Patrimonial de Castro,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento de Barrios Comerciles,,AOS, OPERACION Y FUNCIONAMIENTO BARRIO PUYUHUAPI ,- CORPORACION DE DESARROLLO SOCIAL DEL SECTOR RURAL  (CODESSER),5130000,Region de Aysen ,Barrio Puyuhuapi,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
